country,climate,natural_resources,population_distribution,net_migration_per_1000_population,age_0_14_percent,age_15_24_percent,age_25_54_percent,age_55_64_percent,age_65_over_percent,language,govt_type,legal_system,gdp_purchasing_power_global_rank,gdp_growth_global_rank,electricity_access_percent,electricity_generating_capacity_global_rank,internet_access_percent,cell_phone_per_100,military_spending_annual,transnational_disputes
Malaysia,tropical; annual southwest (April to October) and northeast (October to February) monsoons,"['tin', 'petroleum', 'timber', 'copper', 'iron ore', 'natural gas', 'bauxite']",a highly uneven distribution with over 80% of the population residing on the Malay Peninsula,-0.30000000000000004,26.8,16.63,40.86,8.81,6.9,"[{'name': 'Bahasa Malaysia', 'note': 'official'}, {'name': 'English'}, {'name': 'Chinese', 'note': 'Cantonese, Mandarin, Hokkien, Hakka, Hainan, Foochow'}, {'name': 'Tamil'}, {'name': 'Telugu'}, {'name': 'Malayalam'}, {'name': 'Panjabi'}, {'name': 'Thai'}]","federal parliamentary constitutional monarchy
note: all Peninsular Malaysian states have hereditary rulers (commonly referred to as sultans) except Melaka (Malacca) and Pulau Pinang (Penang); those two states along with Sabah and Sarawak in East Malaysia have governors appointed by government; powers of state governments are limited by the federal constitution; under terms of federation, Sabah and Sarawak retain certain constitutional prerogatives (e.g., right to maintain their own immigration controls)","mixed legal system of English common law, Islamic (sharia) law, and customary law; judicial review of legislative acts in the Federal Court at request of supreme head of the federation",26.0,37.0,100.0,31.0,81.2,133.0,"[{'value': 1, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 1.1, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.4, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.5, 'units': 'percent_of_gdp', 'date': '2015'}]","['while the 2002 ""Declaration on the Conduct of Parties in the South China Sea"" has eased tensions over the Spratly Islands, it is not the legally binding ""code of conduct"" sought by some parties, which is currently being negotiated between China and ASEAN', 'Malaysia was not party to the March 2005 joint accord among the national oil companies of China, the Philippines, and Vietnam on conducting marine seismic activities in the Spratly Islands', ""disputes continue over deliveries of fresh water to Singapore, Singapore's land reclamation, bridge construction, and maritime boundaries in the Johor and Singapore Straits"", 'in 2008, ICJ awarded sovereignty of Pedra Branca (Pulau Batu Puteh/Horsburgh Island) to Singapore, and Middle Rocks to Malaysia, but did not rule on maritime regimes, boundaries, or disposition of South Ledge', 'land and maritime negotiations with Indonesia are ongoing, and disputed areas include the controversial Tanjung Datu and Camar Wulan border area in Borneo and the maritime boundary in the Ambalat oil block in the Celebes Sea', ""separatist violence in Thailand's predominantly Muslim southern provinces prompts measures to close and monitor border with Malaysia to stem terrorist activities"", ""Philippines retains a dormant claim to Malaysia's Sabah State in northern Borneo"", ""per Letters of Exchange signed in 2009, Malaysia in 2010 ceded two hydrocarbon concession blocks to Brunei in exchange for Brunei's sultan dropping claims to the Limbang corridor, which divides Brunei"", 'piracy remains a problem in the Malacca Strait']"
Maldives,"tropical; hot, humid; dry, northeast monsoon (November to March); rainy, southwest monsoon (June to August)",['fish'],about a third of the population lives in the centrally located capital city of Male and almost a tenth in southern Addu City; the remainder of the populace is spread over the 200 or so populated islands of the archipelago,-12.7,22.13,17.24,48.91,6.91,4.8100000000000005,"[{'name': 'Dhivehi', 'note': 'official, dialect of Sinhala, script derived from Arabic'}, {'name': 'English', 'note': 'spoken by most government officials'}]",presidential republic,"Islamic (sharia) legal system with English common law influences, primarily in commercial matters",168.0,57.0,100.0,161.0,63.19,219.0,,['none']
Mali,"subtropical to arid; hot and dry (February to June); rainy, humid, and mild (June to November); cool and dry (November to February)","['gold', 'phosphates', 'kaolin', 'salt', 'limestone', 'uranium', 'gypsum', 'granite', 'hydropower', 'note', 'bauxite', 'iron ore', 'manganese', 'tin', 'copper deposits are known but not exploited']","the overwhelming majority of the population lives in the southern half of the country, with greater density along the border with Burkina Faso",-3.9,47.69,19.0,26.61,3.68,3.02,"[{'name': 'French', 'note': 'official'}, {'name': 'Bambara', 'percent': 46.3}, {'name': 'Peuhl/Foulfoulbe', 'percent': 9.4}, {'name': 'Dogon', 'percent': 7.2}, {'name': 'Maraka/Soninke', 'percent': 6.4}, {'name': 'Malinke', 'percent': 5.6}, {'name': 'Sonrhai/Djerma', 'percent': 5.6}, {'name': 'Minianka', 'percent': 4.3}, {'name': 'Tamacheq', 'percent': 3.5}, {'name': 'Senoufo', 'percent': 2.6}, {'name': 'Bobo', 'percent': 2.1}, {'name': 'unspecified', 'percent': 0.7000000000000001}, {'name': 'other', 'percent': 6.3}]",semi-presidential republic,civil law system based on the French civil law model and influenced by customary law; judicial review of legislative acts in the Constitutional Court,117.0,39.0,35.1,140.0,13.0,119.0,"[{'value': 2.7, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 2.9, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 3, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 2.6, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 2.4, 'units': 'percent_of_gdp', 'date': '2015'}]",['demarcation is underway with Burkina Faso']
Malta,"Mediterranean; mild, rainy winters; hot, dry summers","['limestone', 'salt', 'arable land']","most of the population lives on the eastern half of Malta, the largest of the three inhabited islands",6.6,14.38,10.33,41.1,12.88,21.3,"[{'name': 'Maltese', 'percent': 90.1, 'note': 'official'}, {'name': 'English', 'percent': 6, 'note': 'official'}, {'name': 'multilingual', 'percent': 3}, {'name': 'other', 'percent': 0.9}]",parliamentary republic,mixed legal system of English common law and civil law based on the Roman and Napoleonic civil codes; subject to European Union law,152.0,28.0,100.0,142.0,81.4,137.0,"[{'value': 0.6000000000000001, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 0.5, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 0.5, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 0.5, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 0.5, 'units': 'percent_of_gdp', 'date': '2015'}]",['none']
Marshall Islands,tropical; hot and humid; wet season May to November; islands border typhoon belt,"['coconut products', 'marine products', 'deep seabed minerals']",most people live in urban clusters found on many of the country's islands; more than two-thirds of the population lives on the atolls of Majuro and Ebeye,-4.5,32.94,19.09,37.35,5.92,4.7,"[{'name': 'Marshallese', 'percent': 98.2, 'note': 'official'}, {'name': 'other languages', 'percent': 1.8, 'note': '1999 census'}]",mixed presidential-parliamentary system in free association with the US,"mixed legal system of US and English common law, customary law, and local statutes",221.0,130.0,93.1,190.0,38.7,21.0,,['claims US territory of Wake Island']
Mauritania,"desert; constantly hot, dry, dusty","['iron ore', 'gypsum', 'copper', 'phosphate', 'diamonds', 'gold', 'oil', 'fish']","with most of the country being a desert, vast areas of the country, particularly in the central, northern, and eastern areas, are without sizeable population clusters; half the population lives in or around the coastal capital of Nouakchott; smaller clusters are found near the southern border with Mali and Senegal",-0.8,37.56,19.71,33.91,4.9,3.92,"[{'name': 'Arabic', 'note': 'official and national'}, {'name': 'Pular'}, {'name': 'Soninke'}, {'name': 'Wolof', 'note': 'all national languages'}, {'name': 'French'}]",presidential republic,mixed legal system of Islamic and French civil law,154.0,99.0,41.7,144.0,20.8,119.0,"[{'value': 2.8, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 3, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 2.9, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 2.9, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 2.8, 'units': 'percent_of_gdp', 'date': '2015'}]",['Mauritanian claims to Western Sahara remain dormant']
Mauritius,"tropical, modified by southeast trade winds; warm, dry winter (May to November); hot, wet, humid summer (November to May)","['arable land', 'fish']","population density is one of the highest in the world; urban cluster are found throught the main island, with a greater density in and around Port Luis; population on Rodrigues Island is spread across the island with a slightly denser cluster on the north coast",0.0,19.44,14.06,43.11,12.31,11.08,"[{'name': 'Creole', 'percent': 86.5}, {'name': 'Bhojpuri', 'percent': 5.3}, {'name': 'French', 'percent': 4.1}, {'name': 'two languages', 'percent': 1.4}, {'name': 'other', 'percent': 2.6, 'breakdown': [{'name': 'includes English'}, {'name': 'the official language of the National Assembly'}, {'name': 'which is spoken by less than of the population', 'percent': 1}]}, {'name': 'unspecified', 'percent': 0.1}]",parliamentary republic,civil legal system based on French civil law with some elements of English common law,137.0,88.0,100.0,132.0,58.6,141.0,"[{'value': 0.16, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 0.18, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 0.19, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 0.18, 'units': 'percent_of_gdp', 'date': '2015'}, {'value': 0.15, 'units': 'percent_of_gdp', 'date': '2014'}]","['Mauritius and Seychelles claim the Chagos Islands', 'claims French-administered Tromelin Island']"
Mexico,varies from tropical to desert,"['petroleum', 'silver', 'antimony', 'copper', 'gold', 'lead', 'zinc', 'natural gas', 'timber']",most of the population is found in the middle of the country between the states of Jalisco and Veracruz; approximately a quarter of the population lives in and around Mexico City,-1.9,26.01,16.97,41.06,8.29,7.67,"[{'name': 'Spanish only', 'percent': 92.7}, {'name': 'Spanish and indigenous languages', 'percent': 5.7}, {'name': 'indigenous only', 'percent': 0.8}, {'name': 'unspecified', 'percent': 0.8}]",federal presidential republic,civil law system with US constitutional law influence; judicial review of legislative acts,11.0,152.0,100.0,17.0,65.77,95.0,"[{'value': 0.5, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 0.54, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 0.47000000000000003, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 0.56, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 0.66, 'units': 'percent_of_gdp', 'date': '2015'}]","['abundant rainfall in recent years along much of the Mexico-US border region has ameliorated periodically strained water-sharing arrangements', 'the US has intensified security measures to monitor and control legal and illegal personnel, transport, and commodities across its border with Mexico', 'Mexico must deal with thousands of impoverished Guatemalans and other Central Americans who cross the porous border looking for work in Mexico and the US', 'Belize and Mexico are working to solve minor border demarcation discrepancies arising from inaccuracies in the 1898 border treaty']"
"Micronesia, Federated States Of","tropical; heavy year-round rainfall, especially in the eastern islands; located on southern edge of the typhoon belt with occasionally severe damage","['timber', 'marine products', 'deep-seabed minerals', 'phosphate']",the majority of the populaton lives in the coastal areas of the high islands; the mountainous interior is largely uninhabited; less than half of the population lives in urban areas,-20.9,28.88,18.94,40.32,7.24,4.62,"[{'name': 'English', 'note': 'official and common language'}, {'name': 'Chuukese'}, {'name': 'Kosrean'}, {'name': 'Pohnpeian'}, {'name': 'Yapese'}, {'name': 'Ulithian'}, {'name': 'Woleaian'}, {'name': 'Nukuoro'}, {'name': 'Kapingamarangi'}]",federal republic in free association with the US,mixed legal system of common and customary law,215.0,153.0,75.4,206.0,35.3,22.0,,['none']
Moldova,"moderate winters, warm summers","['lignite', 'phosphorites', 'gypsum', 'limestone', 'arable land']","pockets of agglomeration exist throughout the country, the largest being in the center of the country around the capital of Chisinau, followed by Tiraspol and Balti",-9.0,18.31,11.27,43.13,13.26,14.03,"[{'name': 'Moldovan/Romanian', 'percent': 80.2, 'breakdown': [{'name': 'identify their mother tongue as Moldovan', 'percent': 56.7}, {'name': 'which is virtually the same as Romanian; identify Romanian as their mother tongue', 'percent': 23.5}], 'note': 'official'}, {'name': 'Russian', 'percent': 9.7}, {'name': 'Gagauz', 'percent': 4.2, 'note': 'a Turkish language'}, {'name': 'Ukrainian', 'percent': 3.9}, {'name': 'Bulgarian', 'percent': 1.5}, {'name': 'Romani', 'percent': 0.30000000000000004}, {'name': 'other', 'percent': 0.2}]",parliamentary republic,civil law system with Germanic law influences; Constitutional Court review of legislative acts,143.0,65.0,100.0,148.0,76.12,104.0,"[{'value': 0.4, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 0.35000000000000003, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 0.37, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 0.44, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 0.35000000000000003, 'units': 'percent_of_gdp', 'date': '2015'}]","[""Moldova and Ukraine operate joint customs posts to monitor the transit of people and commodities through Moldova's break-away Transnistria region, which remains under the auspices of an Organization for Security and Cooperation in Europe-mandated peacekeeping mission comprised of Moldovan, Transnistrian, Russian, and Ukrainian troops""]"
Monaco,"Mediterranean with mild, wet winters and hot, dry summers",,the second most densely populated country in the world (after Macau); its entire population living on 2 square km,8.3,9.41,9.52,30.46,15.47,35.15,"[{'name': 'French', 'note': 'official'}, {'name': 'English'}, {'name': 'Italian'}, {'name': 'Monegasque'}]",constitutional monarchy,civil law system influenced by French legal tradition,165.0,40.0,100.0,,97.05,106.0,,['none']
Mongolia,desert; continental (large daily and seasonal temperature ranges),"['oil', 'coal', 'copper', 'molybdenum', 'tungsten', 'phosphates', 'tin', 'nickel', 'zinc', 'fluorspar', 'gold', 'silver', 'iron']",sparsely distributed population throughout the country; the capital of Ulaanbaatar and the northern city of Darhan support the highest population densities,-0.8,26.96,14.93,45.29,8.04,4.78,"[{'name': 'Mongolian', 'percent': 90, 'note': 'official; Khalkha dialect is predominant'}, {'name': 'Turkic'}, {'name': 'Russian'}]",semi-presidential republic,civil law system influenced by Soviet and Romano-Germanic legal systems; constitution ambiguous on judicial review of legislative acts,114.0,48.0,81.8,125.0,23.71,136.0,"[{'value': 0.7000000000000001, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 0.7000000000000001, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 0.8, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 0.9, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 0.9, 'units': 'percent_of_gdp', 'date': '2015'}]",['none']
